Project,Month,Epic,Team,Epic_Summary,Hours
SRLK,2025-09,No Epic,UX,"",0.50
SRLK,2025-09,SRLK-1,BE Devs,"Project Oversight / Support",1.00
SRLK,2025-09,SRLK-1,FE Devs,"Project Oversight / Support",0.25
SRLK,2025-09,SRLK-1,PMs,"Project Oversight / Support",4.00
SRLK,2025-09,SRLK-31,BE Devs,"Catalog Integration",3.00
SRLK,2025-10,No Epic,BE Devs,"",3.00
SRLK,2025-10,No Epic,UX,"",2.00
SRLK,2025-10,SRLK-1,BE Devs,"Project Oversight / Support",0.50
SRLK,2025-10,SRLK-1,FE Devs,"Project Oversight / Support",0.25
SRLK,2025-10,SRLK-1,PMs,"Project Oversight / Support",2.00
SRLK,2025-10,SRLK-31,BE Devs,"Catalog Integration",11.75
SRLK,2025-11,No Epic,BE Devs,"",3.00
